zone,construc,manufac,TCU,wholesl,retail,FIRE,service,private,govt,emp,pop,hshld,univ,acres,otherEmp,district,PARKTOT,PARKLNG,PROPFREE,PARKRATE,areatype,county,CBDFlag,N11,N21,N22,N23,N313233,N42,N4445,N4849,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N92
     39.00,         0,     27.00,         0,     14.00,    371.00,     13.00,    327.00,    752.00,         0,    752.00,   1356.00,    449.00,         0,    615.00,     54.00,      1.00,         0,         0,         0,         0,      5.00,      1.00,         0,         0,         0,         0,         0,     27.00,     14.00,     47.00,         0,         0,      9.00,      4.00,     76.00,      4.00,     50.00,      6.00,    179.00,     10.00,    324.00,      2.00,         0
     40.00,      5.00,         0,         0,      3.00,      1.00,         0,     21.00,     30.00,         0,     30.00,    742.00,    294.00,         0,    666.00,      8.00,      1.00,         0,         0,         0,         0,      6.00,      1.00,         0,         0,         0,         0,      5.00,         0,      3.00,      1.00,         0,         0,         0,         0,     14.00,         0,      1.00,         0,         0,         0,         0,      6.00,         0
     41.00,      6.00,      6.00,         0,         0,    192.00,     17.00,    608.00,    829.00,         0,    829.00,   1752.00,    730.00,         0,    463.00,     29.00,      1.00,         0,         0,         0,         0,      5.00,      1.00,         0,         0,         0,         0,      6.00,      6.00,         0,     80.00,         0,         0,     17.00,         0,    370.00,         0,     74.00,    127.00,     31.00,         0,    112.00,      6.00,         0
     42.00,     12.00,         0,         0,      1.00,    156.00,     24.00,    343.00,    536.00,         0,    536.00,     24.00,      5.00,         0,     62.00,     37.00,      1.00,         0,         0,         0,         0,      3.00,      1.00,         0,         0,         0,         0,     12.00,         0,      1.00,     19.00,         0,         0,     24.00,         0,    265.00,         0,     55.00,     12.00,     10.00,         0,    137.00,      1.00,         0
     43.00,         0,         0,         0,     24.00,    169.00,     12.00,    127.00,    332.00,         0,    332.00,     44.00,      9.00,         0,     71.00,     36.00,      1.00,         0,         0,         0,         0,      3.00,      1.00,         0,         0,         0,         0,         0,         0,     24.00,    131.00,         0,         0,     12.00,         0,         0,         0,     54.00,         0,     72.00,         0,     38.00,      1.00,         0
     44.00,      4.00,      6.00,         0,     47.00,     63.00,     13.00,    111.00,    244.00,      8.00,    252.00,    103.00,     53.00,         0,    383.00,     78.00,      1.00,         0,         0,         0,         0,      5.00,      1.00,         0,         0,         0,         0,      4.00,      6.00,     47.00,     27.00,         0,         0,      4.00,      9.00,         0,         0,     19.00,     76.00,     10.00,         0,     36.00,      6.00,      8.00
     45.00,     27.00,         0,      4.00,     15.00,    192.00,      6.00,    146.00,    390.00,         0,    390.00,   1318.00,    529.00,         0,    494.00,     52.00,      1.00,         0,         0,         0,         0,      5.00,      1.00,         0,         0,         0,         0,     27.00,         0,     15.00,    156.00,         0,      4.00,      6.00,         0,     33.00,         0,     20.00,     86.00,      1.00,         0,     36.00,      6.00,         0
     46.00,      3.00,      9.00,      4.00,    116.00,     33.00,     37.00,     81.00,    283.00,         0,    283.00,    122.00,     81.00,         0,     51.00,    169.00,      1.00,         0,         0,         0,         0,      3.00,      1.00,         0,         0,         0,         0,      3.00,      9.00,    116.00,     33.00,         0,      4.00,     37.00,         0,     31.00,         0,     21.00,      1.00,     28.00,         0,         0,         0,         0
     47.00,      2.00,      9.00,     20.00,     37.00,     19.00,     30.00,    116.00,    233.00,         0,    233.00,      5.00,      3.00,         0,     30.00,     98.00,      1.00,         0,         0,         0,         0,      2.00,      1.00,         0,         0,         0,         0,      2.00,      9.00,     37.00,     19.00,         0,     20.00,     30.00,         0,     27.00,         0,     12.00,         0,     55.00,         0,         0,     22.00,         0
     48.00,      1.00,         0,      3.00,      1.00,         0,         0,     73.00,     78.00,         0,     78.00,   2137.00,    836.00,         0,    765.00,      5.00,      1.00,         0,         0,         0,         0,      5.00,      1.00,         0,         0,         0,         0,      1.00,         0,      1.00,         0,         0,      3.00,         0,         0,     16.00,         0,     10.00,      1.00,     36.00,         0,         0,     10.00,         0
     49.00,         0,         0,         0,         0,         0,         0,      4.00,      4.00,         0,      4.00,    191.00,     64.00,         0,    296.00,         0,      1.00,         0,         0,         0,         0,      6.00,      1.00,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,      2.00,         0,         0,      1.00,         0,         0,         0,      1.00,         0
     50.00,      5.00,      2.00,         0,         0,         0,         0,     20.00,     27.00,      2.00,     29.00,    742.00,    292.00,         0,    808.00,      9.00,      1.00,         0,         0,         0,         0,      6.00,      1.00,         0,         0,         0,         0,      5.00,      2.00,         0,         0,         0,         0,         0,         0,     13.00,         0,      3.00,         0,      4.00,         0,         0,         0,      2.00
     51.00,     28.00,      2.00,         0,         0,         0,         0,      1.00,     31.00,      2.00,     33.00,    201.00,     87.00,         0,    381.00,     32.00,      1.00,         0,         0,         0,         0,      6.00,      1.00,         0,         0,         0,         0,     28.00,      2.00,         0,         0,         0,         0,         0,         0,         0,         0,      1.00,         0,         0,         0,         0,         0,      2.00
     52.00,      6.00,      1.00,         0,      1.00,     41.00,      6.00,    418.00,    473.00,         0,    473.00,   2585.00,    867.00,         0,    743.00,     14.00,      1.00,         0,         0,         0,         0,      5.00,      1.00,         0,         0,         0,         0,      6.00,      1.00,      1.00,         0,         0,         0,      5.00,      1.00,     34.00,         0,     37.00,    329.00,     18.00,         0,     41.00,         0,         0
     53.00,     28.00,         0,      4.00,      4.00,    171.00,      8.00,    322.00,    537.00,         0,    537.00,   2900.00,   1168.00,         0,    424.00,     44.00,      1.00,         0,         0,         0,         0,      4.00,      1.00,         0,         0,         0,         0,     28.00,         0,      4.00,     56.00,         0,      4.00,      6.00,      2.00,     96.00,     10.00,     31.00,      1.00,    136.00,      1.00,    115.00,     47.00,         0
     54.00,     41.00,         0,     31.00,     39.00,    393.00,     26.00,    700.00,   1230.00,      8.00,   1238.00,      9.00,      8.00,         0,    190.00,    145.00,      1.00,         0,         0,         0,         0,      4.00,      1.00,         0,         0,         0,         0,     41.00,         0,     39.00,    101.00,      1.00,     30.00,     19.00,      7.00,     81.00,     31.00,     74.00,    193.00,    143.00,      6.00,    292.00,    172.00,      8.00
     55.00,      2.00,      7.00,     42.00,     19.00,    244.00,     22.00,    529.00,    865.00,         0,    865.00,   1599.00,    677.00,         0,    347.00,     92.00,      1.00,         0,         0,         0,         0,      3.00,      1.00,         0,         0,         0,         0,      2.00,      7.00,     19.00,    184.00,     33.00,      9.00,     19.00,      3.00,    160.00,     27.00,     50.00,      5.00,    275.00,         0,     60.00,     12.00,         0
     56.00,     19.00,      7.00,     42.00,     75.00,    132.00,     37.00,    691.00,   1003.00,         0,   1003.00,    887.00,    374.00,    177.00,    217.00,    180.00,      1.00,         0,         0,         0,         0,      3.00,      1.00,         0,         0,         0,         0,     19.00,      7.00,     75.00,     92.00,     33.00,      9.00,     37.00,         0,     49.00,    151.00,     58.00,      3.00,    395.00,         0,     40.00,     35.00,         0
