tour_mode,OrigDistName,OrigDist,DestDistName,DestDist,totTrip,HomeDist,HomeDistName,income2,ProdDistName,AttrDistName
9,N Fulton,6,Atl DeKalb,7,85,NA,NA,NA,NA,NA
9,N Fulton,6,Atlanta,1,274,NA,NA,NA,NA,NA
9,N Fulton,6,Atlanta CBD,0,314,NA,NA,NA,NA,NA
9,N Fulton,6,Buckhead & SS,2,498,NA,NA,NA,NA,NA
9,N Fulton,6,Cent Gwinnett,16,2,NA,NA,NA,NA,NA
9,N Fulton,6,Chamblee,11,163,NA,NA,NA,NA,NA
9,N Fulton,6,Clayton,18,55,NA,NA,NA,NA,NA
9,N Fulton,6,N Fulton,6,435,NA,NA,NA,NA,NA
9,N Fulton,6,N Gwinnett,17,1,NA,NA,NA,NA,NA
9,N Fulton,6,N Suburbs,21,2,NA,NA,NA,NA,NA
9,N Fulton,6,NE DeKalb,10,70,NA,NA,NA,NA,NA
9,N Fulton,6,NW Cen DeKalb,8,101,NA,NA,NA,NA,NA
9,N Fulton,6,NW Cobb,14,2,NA,NA,NA,NA,NA
9,N Fulton,6,S Cobb,12,52,NA,NA,NA,NA,NA
9,N Fulton,6,S DeKalb,9,34,NA,NA,NA,NA,NA
9,N Fulton,6,S Fulton,5,17,NA,NA,NA,NA,NA
9,N Fulton,6,SE Atlanta,3,198,NA,NA,NA,NA,NA
9,N Fulton,6,SW & Cent Cobb,13,7,NA,NA,NA,NA,NA
9,N Fulton,6,SW Gwinnett,15,9,NA,NA,NA,NA,NA
9,N Fulton,6,W Atlanta,4,253,NA,NA,NA,NA,NA
9,N Gwinnett,17,Atlanta,1,2,NA,NA,NA,NA,NA
9,N Gwinnett,17,Atlanta CBD,0,1,NA,NA,NA,NA,NA
9,N Gwinnett,17,Buckhead & SS,2,2,NA,NA,NA,NA,NA
9,N Gwinnett,17,Cent Gwinnett,16,20,NA,NA,NA,NA,NA
9,N Gwinnett,17,Chamblee,11,3,NA,NA,NA,NA,NA
9,N Gwinnett,17,N Gwinnett,17,1,NA,NA,NA,NA,NA
9,N Gwinnett,17,NE DeKalb,10,2,NA,NA,NA,NA,NA
9,N Gwinnett,17,NW Cen DeKalb,8,1,NA,NA,NA,NA,NA
9,N Gwinnett,17,S Fulton,5,2,NA,NA,NA,NA,NA
9,N Gwinnett,17,SE Atlanta,3,3,NA,NA,NA,NA,NA
9,N Gwinnett,17,SW Gwinnett,15,1,NA,NA,NA,NA,NA
9,N Gwinnett,17,W Atlanta,4,3,NA,NA,NA,NA,NA
9,N Suburbs,21,Atl DeKalb,7,1,NA,NA,NA,NA,NA
9,N Suburbs,21,Atlanta,1,3,NA,NA,NA,NA,NA
9,N Suburbs,21,Buckhead & SS,2,8,NA,NA,NA,NA,NA
9,N Suburbs,21,Chamblee,11,4,NA,NA,NA,NA,NA
9,N Suburbs,21,Clayton,18,4,NA,NA,NA,NA,NA
9,N Suburbs,21,N Fulton,6,4,NA,NA,NA,NA,NA
9,N Suburbs,21,N Suburbs,21,1128,NA,NA,NA,NA,NA
9,N Suburbs,21,NE DeKalb,10,5,NA,NA,NA,NA,NA
9,N Suburbs,21,NW Cen DeKalb,8,4,NA,NA,NA,NA,NA
9,N Suburbs,21,S Cobb,12,6,NA,NA,NA,NA,NA
9,N Suburbs,21,S DeKalb,9,1,NA,NA,NA,NA,NA
9,N Suburbs,21,S Fulton,5,1,NA,NA,NA,NA,NA
9,N Suburbs,21,SE Atlanta,3,3,NA,NA,NA,NA,NA
9,N Suburbs,21,SW Gwinnett,15,2,NA,NA,NA,NA,NA
9,N Suburbs,21,W Atlanta,4,2,NA,NA,NA,NA,NA
9,NE DeKalb,10,Atl DeKalb,7,353,NA,NA,NA,NA,NA
9,NE DeKalb,10,Atlanta,1,586,NA,NA,NA,NA,NA
9,NE DeKalb,10,Atlanta CBD,0,1236,NA,NA,NA,NA,NA
9,NE DeKalb,10,Buckhead & SS,2,457,NA,NA,NA,NA,NA
9,NE DeKalb,10,Cent Gwinnett,16,9,NA,NA,NA,NA,NA
9,NE DeKalb,10,Chamblee,11,277,NA,NA,NA,NA,NA
9,NE DeKalb,10,Clayton,18,206,NA,NA,NA,NA,NA
9,NE DeKalb,10,N Fulton,6,64,NA,NA,NA,NA,NA
9,NE DeKalb,10,N Suburbs,21,5,NA,NA,NA,NA,NA
9,NE DeKalb,10,NE DeKalb,10,1578,NA,NA,NA,NA,NA
9,NE DeKalb,10,NW Cen DeKalb,8,506,NA,NA,NA,NA,NA
9,NE DeKalb,10,NW Cobb,14,4,NA,NA,NA,NA,NA
9,NE DeKalb,10,S Cobb,12,93,NA,NA,NA,NA,NA
9,NE DeKalb,10,S DeKalb,9,246,NA,NA,NA,NA,NA
9,NE DeKalb,10,S Fulton,5,76,NA,NA,NA,NA,NA
9,NE DeKalb,10,SE Atlanta,3,358,NA,NA,NA,NA,NA
9,NE DeKalb,10,SE Suburbs,20,5,NA,NA,NA,NA,NA
9,NE DeKalb,10,SW & Cent Cobb,13,19,NA,NA,NA,NA,NA
9,NE DeKalb,10,SW Gwinnett,15,62,NA,NA,NA,NA,NA
9,NE DeKalb,10,SW Suburbs,19,6,NA,NA,NA,NA,NA
9,NE DeKalb,10,W Atlanta,4,419,NA,NA,NA,NA,NA
9,NW Cen DeKalb,8,Atl DeKalb,7,755,NA,NA,NA,NA,NA
9,NW Cen DeKalb,8,Atlanta,1,797,NA,NA,NA,NA,NA
9,NW Cen DeKalb,8,Atlanta CBD,0,902,NA,NA,NA,NA,NA
9,NW Cen DeKalb,8,Buckhead & SS,2,651,NA,NA,NA,NA,NA
9,NW Cen DeKalb,8,Cent Gwinnett,16,11,NA,NA,NA,NA,NA
9,NW Cen DeKalb,8,Chamblee,11,433,NA,NA,NA,NA,NA
9,NW Cen DeKalb,8,Clayton,18,237,NA,NA,NA,NA,NA
9,NW Cen DeKalb,8,N Fulton,6,98,NA,NA,NA,NA,NA
9,NW Cen DeKalb,8,N Gwinnett,17,1,NA,NA,NA,NA,NA
9,NW Cen DeKalb,8,N Suburbs,21,6,NA,NA,NA,NA,NA
9,NW Cen DeKalb,8,NE DeKalb,10,514,NA,NA,NA,NA,NA
9,NW Cen DeKalb,8,NW Cen DeKalb,8,4912,NA,NA,NA,NA,NA
9,NW Cen DeKalb,8,NW Cobb,14,4,NA,NA,NA,NA,NA
9,NW Cen DeKalb,8,S Cobb,12,152,NA,NA,NA,NA,NA
9,NW Cen DeKalb,8,S DeKalb,9,391,NA,NA,NA,NA,NA
9,NW Cen DeKalb,8,S Fulton,5,134,NA,NA,NA,NA,NA
9,NW Cen DeKalb,8,SE Atlanta,3,672,NA,NA,NA,NA,NA
9,NW Cen DeKalb,8,SE Suburbs,20,22,NA,NA,NA,NA,NA
9,NW Cen DeKalb,8,SW & Cent Cobb,13,25,NA,NA,NA,NA,NA
9,NW Cen DeKalb,8,SW Gwinnett,15,59,NA,NA,NA,NA,NA
9,NW Cen DeKalb,8,SW Suburbs,19,5,NA,NA,NA,NA,NA
9,NW Cen DeKalb,8,W Atlanta,4,867,NA,NA,NA,NA,NA
9,NW Cobb,14,Atl DeKalb,7,14,NA,NA,NA,NA,NA
9,NW Cobb,14,Atlanta,1,19,NA,NA,NA,NA,NA
9,NW Cobb,14,Atlanta CBD,0,15,NA,NA,NA,NA,NA
9,NW Cobb,14,Buckhead & SS,2,12,NA,NA,NA,NA,NA
9,NW Cobb,14,Cent Gwinnett,16,1,NA,NA,NA,NA,NA
9,NW Cobb,14,Chamblee,11,7,NA,NA,NA,NA,NA
9,NW Cobb,14,Clayton,18,10,NA,NA,NA,NA,NA
9,NW Cobb,14,N Fulton,6,1,NA,NA,NA,NA,NA
9,NW Cobb,14,NE DeKalb,10,3,NA,NA,NA,NA,NA
9,NW Cobb,14,NW Cen DeKalb,8,3,NA,NA,NA,NA,NA
9,NW Cobb,14,NW Cobb,14,617,NA,NA,NA,NA,NA
9,NW Cobb,14,S Cobb,12,155,NA,NA,NA,NA,NA
9,NW Cobb,14,S DeKalb,9,3,NA,NA,NA,NA,NA
9,NW Cobb,14,S Fulton,5,3,NA,NA,NA,NA,NA
9,NW Cobb,14,SE Atlanta,3,25,NA,NA,NA,NA,NA
9,NW Cobb,14,SW & Cent Cobb,13,187,NA,NA,NA,NA,NA
9,NW Cobb,14,SW Gwinnett,15,3,NA,NA,NA,NA,NA
9,NW Cobb,14,SW Suburbs,19,1,NA,NA,NA,NA,NA
9,NW Cobb,14,W Atlanta,4,23,NA,NA,NA,NA,NA
9,S Cobb,12,Atl DeKalb,7,158,NA,NA,NA,NA,NA
9,S Cobb,12,Atlanta,1,420,NA,NA,NA,NA,NA
9,S Cobb,12,Atlanta CBD,0,707,NA,NA,NA,NA,NA
9,S Cobb,12,Buckhead & SS,2,330,NA,NA,NA,NA,NA
9,S Cobb,12,Cent Gwinnett,16,6,NA,NA,NA,NA,NA
9,S Cobb,12,Chamblee,11,185,NA,NA,NA,NA,NA
9,S Cobb,12,Clayton,18,132,NA,NA,NA,NA,NA
9,S Cobb,12,N Fulton,6,41,NA,NA,NA,NA,NA
9,S Cobb,12,N Suburbs,21,6,NA,NA,NA,NA,NA
9,S Cobb,12,NE DeKalb,10,75,NA,NA,NA,NA,NA
9,S Cobb,12,NW Cen DeKalb,8,148,NA,NA,NA,NA,NA
9,S Cobb,12,NW Cobb,14,162,NA,NA,NA,NA,NA
9,S Cobb,12,S Cobb,12,1272,NA,NA,NA,NA,NA
9,S Cobb,12,S DeKalb,9,58,NA,NA,NA,NA,NA
9,S Cobb,12,S Fulton,5,44,NA,NA,NA,NA,NA
9,S Cobb,12,SE Atlanta,3,291,NA,NA,NA,NA,NA
9,S Cobb,12,SE Suburbs,20,2,NA,NA,NA,NA,NA
9,S Cobb,12,SW & Cent Cobb,13,534,NA,NA,NA,NA,NA
9,S Cobb,12,SW Gwinnett,15,32,NA,NA,NA,NA,NA
9,S Cobb,12,SW Suburbs,19,4,NA,NA,NA,NA,NA
9,S Cobb,12,W Atlanta,4,474,NA,NA,NA,NA,NA
9,S DeKalb,9,Atl DeKalb,7,398,NA,NA,NA,NA,NA
9,S DeKalb,9,Atlanta,1,496,NA,NA,NA,NA,NA
9,S DeKalb,9,Atlanta CBD,0,1306,NA,NA,NA,NA,NA
9,S DeKalb,9,Buckhead & SS,2,381,NA,NA,NA,NA,NA
9,S DeKalb,9,Cent Gwinnett,16,3,NA,NA,NA,NA,NA
9,S DeKalb,9,Chamblee,11,127,NA,NA,NA,NA,NA
9,S DeKalb,9,Clayton,18,160,NA,NA,NA,NA,NA
9,S DeKalb,9,N Fulton,6,50,NA,NA,NA,NA,NA
9,S DeKalb,9,N Gwinnett,17,1,NA,NA,NA,NA,NA
9,S DeKalb,9,N Suburbs,21,1,NA,NA,NA,NA,NA
9,S DeKalb,9,NE DeKalb,10,236,NA,NA,NA,NA,NA
9,S DeKalb,9,NW Cen DeKalb,8,371,NA,NA,NA,NA,NA
9,S DeKalb,9,NW Cobb,14,5,NA,NA,NA,NA,NA
9,S DeKalb,9,S Cobb,12,57,NA,NA,NA,NA,NA
9,S DeKalb,9,S DeKalb,9,1059,NA,NA,NA,NA,NA
9,S DeKalb,9,S Fulton,5,22,NA,NA,NA,NA,NA
9,S DeKalb,9,SE Atlanta,3,208,NA,NA,NA,NA,NA
9,S DeKalb,9,SE Suburbs,20,9,NA,NA,NA,NA,NA
9,S DeKalb,9,SW & Cent Cobb,13,29,NA,NA,NA,NA,NA
9,S DeKalb,9,SW Gwinnett,15,13,NA,NA,NA,NA,NA
9,S DeKalb,9,SW Suburbs,19,6,NA,NA,NA,NA,NA
9,S DeKalb,9,W Atlanta,4,257,NA,NA,NA,NA,NA
9,S Fulton,5,Atl DeKalb,7,67,NA,NA,NA,NA,NA
