TAZ,UNIV,ACRES
1647,0,41
1648,0,202
1649,0,32
1650,0,186
1651,0,126
1652,0,183
1653,0,62
1654,0,10
1655,0,18
1656,0,43
1657,0,109
1658,0,124
1659,0,24
1660,0,80
1661,0,88
1662,0,67
1663,0,72
1664,0,139
1665,0,28
1666,0,63
1667,0,54
1668,0,62
1669,0,37
1670,0,20
1671,0,76
1672,0,29
1673,0,107
1674,0,104
1675,0,135
1676,0,42
1677,0,69
1678,0,49
1679,0,83
1680,0,180
1681,0,18
1682,0,70
1683,0,35
1684,0,280
1685,0,27
1686,0,31
1687,0,19
1688,0,241
1689,0,534
1690,0,527
1691,0,353
1692,0,234
1693,0,71
1694,0,124
1695,0,468
1696,0,582
1697,0,324
1698,0,226
1699,0,222
1700,0,410
1701,0,303
1702,0,286
1703,0,26
1704,0,117
1705,0,339
1706,0,47
1707,0,81
1708,0,176
1709,0,129
1710,0,80
1711,0,174
1712,0,182
1713,0,444
1714,0,433
1715,0,93
1716,0,153
1717,0,257
1718,0,166
1719,0,58
1720,0,123
1721,0,75
1722,0,49
1723,0,149
1724,0,393
1725,0,225
1726,0,142
1727,0,171
1728,0,96
1729,0,216
1730,0,256
1731,0,220
1732,0,169
1733,0,488
1734,0,68
1735,0,68
1736,0,289
1737,0,143
1738,0,210
1739,0,146
1740,0,16
1741,0,65
1742,0,153
1743,0,149
1744,0,75
1745,0,364
1746,0,62
1747,0,195
1748,0,380
1749,0,547
1750,0,466
1751,0,114
1752,0,33
1753,0,167
1754,0,50
1755,0,351
1756,0,31
1757,0,71
1758,0,352
1759,0,241
1760,0,37
1761,0,74
1762,0,84
1763,0,384
1764,105,375
1765,0,110
1766,0,140
1767,0,292
1768,0,293
1769,0,85
1770,0,171
1771,0,618
1772,0,162
1773,0,749
1774,0,137
1775,0,50
1776,0,103
1777,1728,393
1778,0,205
1779,0,496
1780,0,969
1781,0,826
1782,0,714
1783,0,956
1784,0,427
1785,0,155
1786,0,237
1787,0,348
1788,0,681
1789,0,457
1790,0,780
1791,0,254
1792,0,616
1793,0,433
1794,0,444
1795,0,494
1796,0,157
1797,0,169
1798,0,91
1799,214,106
1800,0,619
1801,0,887
1802,0,607
1803,0,141
1804,0,72
1805,0,188
1806,0,325
1807,0,489
1808,0,468
1809,0,342
1810,0,537
1811,0,416
1812,0,121
1813,0,424
1814,0,580
1815,0,91
1816,0,536
1817,0,887
1818,0,36
1819,0,851
1820,0,743
1821,0,1229
1822,0,956
1823,0,788
1824,0,437
1825,0,228
1826,0,472
1827,0,35
1828,0,308
1829,0,436
1830,0,147
1831,0,1581
1832,0,604
1833,0,2223
1834,0,236
1835,0,261
1836,0,792
1837,0,205
1838,0,1019
1839,0,755
1840,0,531
1841,0,477
1842,0,1467
1843,0,168
1844,0,214
1845,0,13
1846,0,39
1847,0,63
1848,0,145
1849,1319,95
1850,0,1062
1851,0,959
1852,0,197
1853,0,339
1854,934,345
1855,0,246
1856,0,160
1857,0,1762
1858,0,735
1859,0,1136
1860,0,706
1861,0,1468
1862,0,945
1863,0,853
1864,0,1452
1865,0,771
1866,0,360
1867,0,1083
1868,0,850
1869,0,264
1870,0,244
1871,0,263
1872,0,220
1873,0,509
1874,0,14
1875,0,85
1876,0,765
1877,0,438
1878,0,471
1879,0,437
1880,0,399
1881,0,724
1882,0,112
1883,0,446
1884,0,31
1885,0,319
1886,0,607
1887,0,192
1888,0,85
1889,0,119
1890,0,167
1891,0,77
1892,0,255
1893,0,78
1894,0,334
1895,0,591
1896,0,627
1897,0,332
1898,0,310
1899,0,593
1900,0,346
1901,0,526
1902,0,313
1903,0,769
1904,0,296
1905,0,483
1906,0,448
1907,0,1060
1908,0,324
1909,0,421
1910,0,736
1911,0,294
1912,0,718
1913,0,565
1914,0,291
1915,0,85
1916,0,115
1917,0,314
1918,0,178
1919,0,251
1920,0,20
1921,0,95
1922,0,111
1923,0,144
1924,0,121
1925,0,59
1926,0,152
1927,0,19
1928,0,250
1929,0,299
1930,0,312
1931,4035,676
1932,0,237
1933,0,88
1934,0,345
1935,0,290
1936,0,254
1937,0,456
1938,0,246
1939,0,211
1940,0,1042
1941,0,1052
1942,0,269
1943,0,259
1944,0,203
1945,0,119
1946,0,587
1947,0,71
1948,0,290
1949,0,611
1950,0,51
1951,0,108
1952,0,457
1953,0,395
1954,0,138
1955,0,91
1956,0,623
1957,0,829
1958,0,50
1959,0,70
1960,0,106
1961,0,116
1962,0,137
1963,0,689
1964,0,658
1965,0,472
1966,0,696
1967,0,328
1968,0,50
1969,0,524
1970,0,155
1971,0,415
1972,0,391
1973,0,59
1974,0,120
1975,0,638
1976,0,565
1977,0,49
1978,0,759
1979,0,232
1980,0,88
1981,0,209
1982,0,202
1983,0,120
1984,0,310
1985,0,371
1986,0,45
1987,0,175
1988,0,87
1989,0,168
1990,0,68
1991,0,163
1992,0,392
1993,0,188
1994,0,80
1995,0,138
1996,0,69
1997,0,133
1998,0,54
1999,0,693
2000,0,309
2001,0,340
2002,0,59
2003,24818,789
2004,0,385
2005,63,454
2006,0,188
2007,0,87
2008,0,76
2009,0,120
2010,410,473
2011,0,168
2012,0,584
2013,0,695
2014,0,438
2015,0,730
2016,0,448
2017,0,699
2018,0,528
2019,0,236
2020,0,1333
2021,0,329
2022,0,727
2023,0,1044
2024,0,600
2025,0,675
2026,0,1365
2027,0,1708
2028,0,1149
2029,0,361
2030,0,507
2031,0,568
2032,0,1200
2033,0,903
2034,0,885
2035,0,583
2036,0,75
2037,0,702
2038,0,190
2039,0,178
2040,0,234
2041,0,507
2042,0,290
2043,0,850
2044,0,290
2045,0,428
2046,0,472
2047,0,1053
2048,0,740
2049,0,912
2050,0,1087
2051,0,720
2052,0,436
2053,0,451
2054,0,404
2055,0,745
2056,0,375
2057,0,1307
2058,0,1344
2059,0,398
2060,0,922
2061,0,582
2062,0,586
2063,0,610
2064,0,626
2065,0,899
2066,0,1524
2067,0,1096
2068,0,613
2069,0,1025
2070,0,1072
2071,0,503
2072,0,926
2073,0,425
2074,0,669
2075,0,445
2076,0,772
2077,0,557
2078,0,597
2079,0,492
2080,0,88
