TAZ,FIPS,Emp,N11,N21,N22,N23,N313233,N42,N4445,N4849,N51,N52,N53,N54,N55,N56,N61,N62,N71,N72,N81,N92,Cons,Manu,TCU,Whol,Retail,FIRE,Serv,Govt
1006,121,31,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,25,0,0,0,0,0,0,0,1,3,0,27,0
1007,121,191,0,0,0,0,0,1,12,0,4,0,0,8,0,18,0,112,0,36,0,0,0,0,4,1,48,0,138,0
1008,121,70,0,0,0,0,0,1,0,0,0,0,0,8,0,2,0,0,0,0,0,59,0,0,0,1,0,0,10,59
1009,121,2208,0,0,0,0,0,55,41,0,3,3,3,0,0,144,0,30,0,198,0,1731,0,0,3,55,239,6,174,1731
1010,121,67,0,0,0,0,12,0,1,0,0,16,3,0,0,4,0,12,0,19,0,0,0,12,0,0,20,19,16,0
1011,121,331,0,0,0,0,0,0,184,0,0,4,3,0,0,16,67,24,0,19,14,0,0,0,0,0,203,7,121,0
1012,121,26,0,0,0,0,0,0,0,0,0,0,9,16,0,1,0,0,0,0,0,0,0,0,0,0,0,9,17,0
1013,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1014,121,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0
1015,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1016,121,94,0,0,0,0,0,0,0,0,0,0,1,0,0,5,86,0,0,0,0,2,0,0,0,0,0,1,91,2
1017,121,41,0,0,0,0,0,0,0,0,0,0,0,0,0,3,33,5,0,0,0,0,0,0,0,0,0,0,41,0
1018,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1019,121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1020,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1021,121,473,0,0,0,0,0,0,329,0,0,10,8,5,0,14,0,43,0,33,1,30,0,0,0,0,362,18,63,30
1022,121,1002,0,0,0,19,0,1,452,0,13,27,0,22,1,79,159,96,0,60,73,0,19,0,13,1,512,27,430,0
1023,121,86,0,0,0,0,0,0,0,0,0,0,5,0,0,4,0,75,0,2,0,0,0,0,0,0,2,5,79,0
1024,121,107,0,0,0,0,0,0,13,0,0,0,0,0,0,5,0,0,14,41,19,15,0,0,0,0,54,0,38,15
1025,121,82,0,0,0,0,0,0,9,0,0,0,10,0,0,4,0,40,0,19,0,0,0,0,0,0,28,10,44,0
1026,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1027,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1028,121,169,0,0,0,0,0,0,22,0,0,3,11,0,0,11,67,12,0,43,0,0,0,0,0,0,65,14,90,0
1029,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1030,121,10,0,0,0,0,0,0,5,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,5,4,1,0
1031,121,40,0,0,0,6,0,0,6,0,0,0,10,0,0,2,0,0,0,16,0,0,6,0,0,0,22,10,2,0
1032,121,162,0,0,0,0,1,0,3,0,4,6,0,0,0,7,0,118,0,23,0,0,0,1,4,0,26,6,125,0
1033,121,26,0,0,0,0,1,0,0,0,0,0,0,7,0,1,0,10,0,0,0,7,0,1,0,0,0,0,18,7
1034,121,57,0,0,0,0,1,0,0,0,0,0,0,0,0,2,54,0,0,0,0,0,0,1,0,0,0,0,56,0
1035,121,126,0,0,0,18,1,0,31,0,0,0,9,0,0,11,0,29,0,20,0,7,18,1,0,0,51,9,40,7
1036,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1037,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1038,121,236,0,0,0,31,0,0,0,0,0,7,2,4,0,68,66,22,1,0,35,0,31,0,0,0,0,9,196,0
1039,121,2456,0,0,0,53,539,514,616,35,0,3,181,0,33,137,11,0,0,212,92,30,53,539,35,514,828,184,273,30
1040,121,242,0,0,0,6,1,2,46,0,0,0,5,1,0,11,0,0,0,36,134,0,6,1,0,2,82,5,146,0
1041,121,27,0,0,0,6,6,0,0,0,0,0,4,0,0,4,0,5,0,2,0,0,6,6,0,0,2,4,9,0
1042,121,1136,0,0,0,94,105,614,9,88,11,3,48,2,0,76,0,0,0,20,10,56,94,105,99,614,29,51,88,56
1043,121,8145,0,0,15,204,2042,1601,415,2513,0,10,188,239,247,502,26,22,1,49,8,63,204,2042,2528,1601,464,198,1045,63
1044,121,1469,0,0,0,32,422,333,28,276,0,10,0,1,164,154,0,0,0,0,0,49,32,422,276,333,28,10,319,49
1045,121,165,0,0,0,0,0,0,0,0,0,32,5,16,0,14,0,93,0,0,0,5,0,0,0,0,0,37,123,5
1046,121,42,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,40,0,0,0,0,0,0,0,0,0,0,42,0
1047,121,105,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,22,0,65,0,2,0,0,0,0,65,0,38,2
1048,121,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0
1049,121,240,0,10,0,18,0,0,15,0,0,6,10,0,0,44,90,40,0,0,7,0,18,0,0,0,15,16,191,0
1050,121,268,0,0,0,0,0,0,74,0,0,0,0,0,0,4,0,0,0,190,0,0,0,0,0,0,264,0,4,0
1051,121,92,0,0,0,0,0,0,6,0,2,0,0,0,0,7,60,0,0,0,17,0,0,0,2,0,6,0,84,0
1052,121,130,0,0,0,0,0,1,25,61,0,6,0,0,0,8,0,0,0,26,3,0,0,0,61,1,51,6,11,0
1053,121,280,0,0,0,0,0,3,3,0,8,6,0,0,0,15,2,64,0,167,12,0,0,0,8,3,170,6,93,0
1054,121,21,0,0,0,0,0,0,5,3,0,0,3,3,0,1,0,0,0,0,0,6,0,0,3,0,5,3,4,6
1055,121,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1056,121,122,0,0,0,0,0,0,28,3,0,0,0,0,0,7,0,35,0,19,1,29,0,0,3,0,47,0,43,29
1057,121,8,0,0,0,0,0,0,0,3,0,0,0,3,0,0,2,0,0,0,0,0,0,0,3,0,0,0,5,0
1058,121,292,0,0,0,58,23,5,0,0,3,6,1,3,0,22,0,40,0,11,115,5,58,23,3,5,11,7,180,5
1059,121,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1060,121,111,0,0,0,0,0,0,13,3,0,0,0,7,0,8,0,55,0,20,3,2,0,0,3,0,33,0,73,2
1061,121,532,0,0,0,0,0,0,287,3,66,10,3,3,0,29,0,34,67,29,1,0,0,0,69,0,316,13,134,0
1062,121,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1063,121,149,0,0,0,0,0,0,0,3,0,16,9,1,0,10,72,0,0,38,0,0,0,0,3,0,38,25,83,0
1064,121,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1065,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1066,121,24,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,18,0,0,0,0,0,0,0,0,0,3,21,0
1067,121,75,0,0,0,0,0,0,0,0,42,6,5,0,0,5,0,17,0,0,0,0,0,0,42,0,0,11,22,0
1068,121,86,0,0,0,0,0,0,0,0,0,5,5,0,0,11,55,10,0,0,0,0,0,0,0,0,0,10,76,0
1069,121,953,0,0,5,0,0,2,527,0,21,21,12,5,3,52,0,23,0,257,25,0,0,0,26,2,784,33,108,0
1070,121,501,0,0,0,0,0,2,362,0,0,12,0,0,3,28,0,0,0,77,17,0,0,0,0,2,439,12,48,0
1071,121,11,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,5,0,0,0,0,0,0,0,2,0,0,9,0
1072,121,116,0,0,0,53,0,0,0,0,34,1,0,0,0,11,0,0,0,2,15,0,53,0,34,0,2,1,26,0
1073,121,39,0,0,0,0,0,0,12,0,0,1,0,1,0,2,0,23,0,0,0,0,0,0,0,0,12,1,26,0
1074,121,120,0,0,0,0,0,0,12,1,0,0,0,16,0,8,0,35,0,48,0,0,0,0,1,0,60,0,59,0
1075,121,236,0,0,0,0,0,0,1,0,4,0,2,2,0,21,193,6,0,0,7,0,0,0,4,0,1,2,229,0
1076,121,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1077,121,46,0,0,0,0,0,0,0,0,3,1,0,0,0,2,0,40,0,0,0,0,0,0,3,0,0,1,42,0
