N,NAME,FIPS,EXCNTSTA,LANES,EXTFLAG,INTFLAG,AADT2000,AADT2005,AADT2010,AADT2015,AWDT2000,AWDT2005,AWDT2010,AWDT2015,PCINTWK,PCINTNW,PCNINTW,PCNINTN,CAREE,COMIE,COMEE,MTKIE,MTKEE,HTKIE,HTKEE
6018,Five Points Rd,45,352,2,7,0,1200,1360,1300,1280,1280,1450,1386,1360,0.0000,0.0000,0.4307,0.4307,0.0000,0.1198,0.0000,0.0166,0.0000,0.0022,0.0000
6019,I-20,45,276,4,7,1,39577,41450,34710,36200,39696,41576,34816,36310,0.2203,0.2203,0.0000,0.0000,0.2102,0.0179,0.0013,0.0344,0.0085,0.1428,0.1443
6020,US 27,45,42,4,7,0,10100,12760,13210,14200,10768,13604,14082,15140,0.0000,0.0000,0.3911,0.3911,0.0294,0.0859,0.0025,0.0361,0.0039,0.0406,0.0194
6021,SR 1 BUS,45,43,2,7,0,9083,8010,8450,8920,9684,8540,9008,9510,0.0000,0.0000,0.3998,0.3996,0.0584,0.0886,0.0071,0.0261,0.0028,0.0121,0.0056
6022,Pleasant Ridge,45,472,2,7,0,900,950,1130,1040,960,1014,1206,1110,0.0000,0.0000,0.4312,0.4312,0.0000,0.1202,0.0000,0.0158,0.0000,0.0017,0.0000
6023,Levans Rd,45,358,2,7,0,400,400,940,1140,428,428,1004,1220,0.0000,0.0000,0.4293,0.4293,0.0000,0.1195,0.0000,0.0199,0.0000,0.0020,0.0000
6024,SR 78,45,85,2,7,0,5871,6600,6920,8520,6260,7036,7378,9080,0.0000,0.0000,0.3998,0.3997,0.0226,0.1071,0.0024,0.0499,0.0000,0.0165,0.0019
6025,SR 113,45,229,2,7,0,3015,2860,3490,3910,3214,3050,3722,4170,0.0000,0.0000,0.3678,0.3678,0.1182,0.0962,0.0121,0.0293,0.0000,0.0083,0.0003
6026,SR 120,223,214,2,7,0,3386,5130,4580,4970,3610,5470,4884,5300,0.0000,0.0000,0.3065,0.3063,0.1409,0.1241,0.0321,0.0639,0.0000,0.0258,0.0004
6027,Pleasant Grove,223,245,2,7,0,900,990,850,1010,960,1056,908,1080,0.0000,0.0000,0.4317,0.4317,0.0000,0.1200,0.0000,0.0154,0.0000,0.0022,0.0000
6028,Vinson Mtn Rd,223,247,2,7,0,1560,1900,1830,1820,1664,2026,1952,1940,0.0000,0.0000,0.4273,0.4267,0.0000,0.1276,0.0000,0.0174,0.0000,0.0015,0.0000
6029,SR 101,223,101,2,7,0,2275,3360,4020,4770,2426,3582,4286,5090,0.0000,0.0000,0.3343,0.3343,0.0938,0.1190,0.0084,0.0847,0.0000,0.0219,0.0033
6030,US 278,233,210,4,7,0,10060,14610,7360,9550,10724,15576,7846,10180,0.0000,0.0000,0.3676,0.3674,0.0832,0.0580,0.0037,0.0528,0.0061,0.0426,0.0186
6031,Braswell Mtn Rd,233,284,2,7,0,700,780,780,910,748,832,832,970,0.0000,0.0000,0.4135,0.4135,0.0000,0.1202,0.0000,0.0481,0.0000,0.0048,0.0000
